classId,courseId,courseName,credit,sessionsPerWeek,hoursPerSession,depart,teacherId,plannedSize,maxCapacity,startWeek,endWeek,requiredRoomType
C101,C01,高等数学,4,2,2,理学院,T001,55,60,1,16,Any
C102,C01,高等数学,4,2,2,理学院,T002,50,60,1,16,Any
C103,C01,高等数学,4,2,2,理学院,T003,48,60,1,16,Any
C201,C02,大学物理,3,2,2,理学院,T004,45,60,1,8,Any
C202,C02,大学物理,3,2,2,理学院,T005,42,50,1,8,Any
C203,C02,大学物理,3,2,2,理学院,T006,40,50,1,8,Any
C301,C03,程序设计基础,3,3,2,计算机学院,T007,35,45,9,16,Any
C302,C03,程序设计基础,3,3,2,计算机学院,T008,33,45,9,16,Any
C303,C03,程序设计基础,3,3,2,计算机学院,T009,30,40,9,16,Any
C401,C04,大学英语,2,2,1,外国语学院,T010,50,60,1,16,Any
C402,C04,大学英语,2,2,1,外国语学院,T011,48,55,1,16,Any
C403,C04,大学英语,2,2,1,外国语学院,T012,45,50,1,16,Any
C501,C05,线性代数,3,2,2,理学院,T013,42,50,5,12,Any
C502,C05,线性代数,3,2,2,理学院,T014,38,45,5,12,Any
C503,C05,线性代数,3,2,2,理学院,T015,35,45,5,12,Any
C601,C06,数据结构,4,2,2,计算机学院,T016,32,40,9,16,Any
C602,C06,数据结构,4,2,2,计算机学院,T017,30,40,9,16,Any
C603,C06,数据结构,4,2,2,计算机学院,T018,28,35,9,16,Any
