classId,courseId,courseName,credit,sessionsPerWeek,hoursPerSession,depart,teacherId,plannedSize,maxCapacity,startWeek,endWeek,requiredRoomType
C001,C01,程序设计上机,3,2,1,计算机学院,T001,25,30,1,16,Lab
C002,C01,程序设计上机,3,2,1,计算机学院,T002,25,30,1,16,Lab
C003,C01,程序设计上机,3,2,1,计算机学院,T003,25,30,1,16,Lab
C004,C01,程序设计上机,3,2,1,计算机学院,T004,25,30,1,16,Lab
C005,C01,程序设计上机,3,2,1,计算机学院,T005,25,30,1,16,Lab
C006,C01,程序设计上机,3,2,1,计算机学院,T006,25,30,1,16,Lab
C007,C01,程序设计上机,3,2,1,计算机学院,T007,25,30,1,16,Lab
C008,C01,程序设计上机,3,2,1,计算机学院,T008,25,30,1,16,Lab
C009,C01,程序设计上机,3,2,1,计算机学院,T009,25,30,1,16,Lab
C010,C01,程序设计上机,3,2,1,计算机学院,T010,25,30,1,16,Lab
C011,C01,程序设计上机,3,2,1,计算机学院,T011,25,30,1,16,Lab
C012,C01,程序设计上机,3,2,1,计算机学院,T012,25,30,1,16,Lab
C013,C01,程序设计上机,3,2,1,计算机学院,T013,25,30,1,16,Lab
C014,C01,程序设计上机,3,2,1,计算机学院,T014,25,30,1,16,Lab
C015,C01,程序设计上机,3,2,1,计算机学院,T015,25,30,1,16,Lab
C016,C01,程序设计上机,3,2,1,计算机学院,T016,25,30,1,16,Lab
C017,C01,程序设计上机,3,2,1,计算机学院,T017,25,30,1,16,Lab
C018,C01,程序设计上机,3,2,1,计算机学院,T018,25,30,1,16,Lab
C019,C01,程序设计上机,3,2,1,计算机学院,T019,25,30,1,16,Lab
C020,C01,程序设计上机,3,2,1,计算机学院,T020,25,30,1,16,Lab
C021,C01,程序设计上机,3,2,1,计算机学院,T021,25,30,1,16,Lab
C022,C01,程序设计上机,3,2,1,计算机学院,T022,25,30,1,16,Lab
C023,C01,程序设计上机,3,2,1,计算机学院,T023,25,30,1,16,Lab
C024,C01,程序设计上机,3,2,1,计算机学院,T024,25,30,1,16,Lab
C025,C01,程序设计上机,3,2,1,计算机学院,T025,25,30,1,16,Lab
C026,C01,程序设计上机,3,2,1,计算机学院,T026,25,30,1,16,Lab
C027,C01,程序设计上机,3,2,1,计算机学院,T027,25,30,1,16,Lab
C028,C01,程序设计上机,3,2,1,计算机学院,T028,25,30,1,16,Lab
C029,C01,程序设计上机,3,2,1,计算机学院,T029,25,30,1,16,Lab
C030,C01,程序设计上机,3,2,1,计算机学院,T030,25,30,1,16,Lab
C031,C01,程序设计上机,3,2,1,计算机学院,T031,25,30,1,16,Lab
C032,C01,程序设计上机,3,2,1,计算机学院,T032,25,30,1,16,Lab
C033,C01,程序设计上机,3,2,1,计算机学院,T033,25,30,1,16,Lab
C034,C01,程序设计上机,3,2,1,计算机学院,T034,25,30,1,16,Lab
C035,C01,程序设计上机,3,2,1,计算机学院,T035,25,30,1,16,Lab
C036,C01,程序设计上机,3,2,1,计算机学院,T036,25,30,1,16,Lab
C037,C01,程序设计上机,3,2,1,计算机学院,T037,25,30,1,16,Lab
C038,C01,程序设计上机,3,2,1,计算机学院,T038,25,30,1,16,Lab
C039,C01,程序设计上机,3,2,1,计算机学院,T039,25,30,1,16,Lab
C040,C01,程序设计上机,3,2,1,计算机学院,T040,25,30,1,16,Lab
