classId,courseId,courseName,credit,sessionsPerWeek,hoursPerSession,depart,teacherId,plannedSize,maxCapacity,startWeek,endWeek,requiredRoomType
C001,S001,高等数学,2,2,2,理学院,T002,155,185,1,16,Any
C002,S001,高等数学,2,2,2,理学院,T003,44,63,1,16,Any
C003,S001,高等数学,2,2,2,理学院,T004,118,145,1,16,Any
C004,S002,大学物理,2,2,2,经济管理学院,T005,153,174,1,16,Any
C005,S002,大学物理,2,2,2,经济管理学院,T006,161,175,1,16,Any
C006,S002,大学物理,2,2,2,经济管理学院,T007,35,71,1,16,Any
C007,S003,程序设计基础,4,3,3,外国语学院,T008,167,180,1,8,Any
C008,S003,程序设计基础,4,3,3,外国语学院,T009,130,146,1,8,Any
C009,S003,程序设计基础,4,3,3,外国语学院,T010,126,142,1,8,Any
C010,S004,数据结构,1,2,1,电气学院,T011,137,167,9,16,Norm
C011,S004,数据结构,1,2,1,电气学院,T012,48,78,9,16,Norm
C012,S004,数据结构,1,2,1,电气学院,T013,122,153,9,16,Norm
C013,S004,数据结构,1,2,1,电气学院,T014,105,135,9,16,Norm
C014,S005,操作系统,3,3,2,人文学院,T015,148,169,5,12,Norm
C015,S005,操作系统,3,3,2,人文学院,T016,28,43,5,12,Norm
C016,S005,操作系统,3,3,2,人文学院,T017,85,100,5,12,Norm
C017,S006,计算机网络,1,1,2,计算机学院,T018,42,78,1,16,Lab
C018,S006,计算机网络,1,1,2,计算机学院,T019,36,53,1,16,Lab
C019,S006,计算机网络,1,1,2,计算机学院,T020,22,50,1,16,Lab
C020,S007,大学英语,2,2,2,机械学院,T021,20,57,1,16,Lab
C021,S007,大学英语,2,2,2,机械学院,T022,46,79,1,16,Lab
C022,S007,大学英语,2,2,2,机械学院,T023,40,59,1,16,Lab
C023,S007,大学英语,2,2,2,机械学院,T024,34,55,1,16,Lab
C024,S008,线性代数,2,2,2,体育系,T025,89,113,1,16,PlayGround
C025,S008,线性代数,2,2,2,体育系,T026,149,172,1,16,PlayGround
